stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column,target
RELIANCE,7,decomposition+model/LSTM,classical,660.3270627931407,,661.2853041024306,52.426865998851525,,,,,Close,
NIFTY50,7,original/ExpSmoothing,classical,544.9889283656686,,670.5291019198751,2.231668095418784,,,,,Close,
NIFTY50,7,original/RandomForest,classical,574.9104964827483,,683.1720753837368,2.3680035526169485,,,,,Close,
NIFTY50,7,original/ARIMA,classical,612.9406900855082,,731.3667244995302,2.512380514457343,,,,,Close,
NIFTY50,7,WeightedEnsemble,autogluon_timeseries,702.0179966517857,602493.0176158632,776.2042370509602,2.9582363818978883,2.905224983001642,2.9373699466630825,3.920635500867547,-3.957445040748177,,
NIFTY50,7,DirectTabular,autogluon_internal,702.0179966517857,602493.0176158632,776.2042370509602,2.9582363818978883,2.905224983001642,2.9373699466630825,3.920635500867547,-3.957445040748177,,
TCS,7,original/LSTM,classical,780.3895156820229,,792.3344700051275,19.11878073698037,,,,,Close,
BANKNIFTY,7,BiLSTM,dl_univariate,612.0739412777824,,827.3524722112027,1.1942259551754726,,,,,,Close
NIFTY50,7,BiLSTM,dl_univariate,817.5776936038826,,841.6248606363816,3.42324916359258,,,,,,Close
NIFTY50,7,xgb_limitdepth,flaml,775.1583426339286,744743.5891648701,862.9852774902189,3.225830196988762,3.291402938173662,3.2434023492526864,4.329110267000304,-5.1279140252017665,,
BANKNIFTY,7,BiLSTM,dl_multivariate,816.916794582957,,885.7063879146937,1.5875721919227026,,,,,,Close
BANKNIFTY,7,DirectTabular,autogluon_internal,735.7912946428571,1038493.5966142927,1019.0650600497952,1.4138398859735726,1.4332244895168555,1.4282627736252174,1.394981980649568,-0.7353161300630087,,
NIFTY50,7,BiLSTM,dl_multivariate,1077.5549142825846,,1091.1145638983492,4.514332105683972,,,,,,Close
BANKNIFTY,7,RecursiveTabular,autogluon_internal,951.7661830357143,1283598.457386562,1132.9600422727017,1.8299704132788186,1.8537520646031007,1.8474969985681822,1.8044473817414293,-1.1448847781910723,,
BANKNIFTY,7,AutoARIMA,statsforecast,960.8211034834219,1285973.9249837939,1134.0079034044666,1.8482441637763791,1.8716438457922362,1.8650737297523639,1.8216145471492484,-1.1488541692892533,,
BANKNIFTY,7,arima,flaml,994.9555585361876,1389589.1007245893,1178.8083392666465,1.9135025407148831,1.9390081707006612,1.9313329690296002,1.8863298408263955,-1.3219944624682562,,
BANKNIFTY,7,Naive,autogluon_internal,998.7075892857143,1390584.0916530064,1179.2302962750773,1.9209123379571362,1.9464172240661572,1.9386161291920851,1.8934432917798665,-1.323657085919164,,
BANKNIFTY,7,ETS,autogluon_internal,998.7188484159124,1390630.8563781285,1179.2501246038214,1.9209335807479317,1.9464394569534305,1.9386379845696116,1.8934646378923559,-1.3237352294744897,,
BANKNIFTY,7,AttentionForecaster,dl_multivariate,1131.4716674583149,,1213.0050078947174,2.2078401786307595,,,,,,Close
BANKNIFTY,7,Theta,autogluon_internal,1041.450166203436,1514928.0586069042,1230.8241379689075,2.0031322641564255,2.03099683277331,2.0215848078172187,1.9744786683069715,-1.5314350560815186,,
BANKNIFTY,7,WeightedEnsemble,autogluon_timeseries,1057.9118952450142,1634907.6250158767,1278.635063267028,2.03300284222529,2.0635642488805024,2.0535390792944366,2.005688354464625,-1.7319201409643137,,
BANKNIFTY,7,SeasonalNaive,autogluon_internal,1266.275669642857,2109382.3547319686,1452.3712868037458,2.4381966223494485,2.4777609320412974,2.4579991816512226,2.400723893511342,-2.524764366935431,,
BANKNIFTY,7,original/RandomForest,classical,1270.164704868648,,1567.809115869451,2.4188254577520407,,,,,Close,
BANKNIFTY,7,original/XGBoost,classical,1346.63208315972,,1638.3721864047498,2.5589703738915732,,,,,Close,
TCS,7,decomposition+model/ExpSmoothing,classical,1863.4420975958726,,1867.7465016000647,45.80664698977813,,,,,Close,
TCS,7,decomposition+model/ARIMA,classical,1869.759277136939,,1873.9655956010308,45.9628144345062,,,,,Close,
TCS,7,decomposition+model/RandomForest,classical,1915.4028866165977,,1920.0689782175216,47.080820421016675,,,,,Close,
TCS,7,decomposition+model/XGBoost,classical,1944.3674252063975,,1948.7125628137287,47.79693453813403,,,,,Close,
NIFTY50,7,Transformer,dl_univariate,1965.5810477772982,,1980.1983242031822,8.235543884640995,,,,,,Close
BANKNIFTY,7,original/ExpSmoothing,classical,1752.5557073051643,,2058.7863737355433,3.3220837620935426,,,,,Close,
BANKNIFTY,7,original/ARIMA,classical,1925.9492965324523,,2205.755777446805,3.654997899528379,,,,,Close,
TCS,7,decomposition+model/LSTM,classical,2310.0208767293952,,2313.861547563456,56.80243718515269,,,,,Close,
NIFTY50,7,AttentionForecaster,dl_multivariate,2782.46831321019,,2801.2272927838394,11.659088362804193,,,,,,Close
NIFTY50,7,AttentionForecaster,dl_univariate,3030.3801379845363,,3039.853390894207,12.702269968330288,,,,,,Close
BANKNIFTY,7,Transformer,dl_univariate,3699.772172096162,,3750.8073976251158,7.182970615000291,,,,,,Close
NIFTY50,7,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,4120.239276200429,,4124.397695791627,17.290943205196395,,,,,,Close
BANKNIFTY,7,Transformer,dl_multivariate,4670.006575043639,,4702.950794300205,9.071713989636,,,,,,Close
BANKNIFTY,7,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,5442.771925575895,,5464.976098080458,10.58958847056803,,,,,,Close
BANKNIFTY,7,original/LSTM,classical,6473.453346450258,,6591.463811528688,12.379800241828612,,,,,Close,
NIFTY50,7,Transformer,dl_multivariate,6913.891532043269,,6917.104512926191,28.99445557202641,,,,,,Close
BANKNIFTY,7,AttentionForecaster,dl_univariate,7144.884553327121,,7171.068231834813,13.88450000438958,,,,,,Close
BANKNIFTY,7,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,7424.202746840984,,7435.749886007662,14.44359301884657,,,,,,Close
NIFTY50,7,decomposition+model/ExpSmoothing,classical,9395.5315869152,,9405.599429583426,38.922305966195715,,,,,Close,
NIFTY50,7,decomposition+model/ARIMA,classical,9411.564250056857,,9421.371125966856,38.98901244678933,,,,,Close,
NIFTY50,7,decomposition+model/RandomForest,classical,9634.945702163835,,9646.634579793588,39.91225292465847,,,,,Close,
NIFTY50,7,decomposition+model/XGBoost,classical,9749.625842418103,,9760.653630766874,40.388252467439706,,,,,Close,
NIFTY50,7,decomposition+model/LSTM,classical,12626.039795912404,,12634.356447654167,52.31413717822222,,,,,Close,
BANKNIFTY,7,decomposition+model/RandomForest,classical,22374.23940574189,,22406.85364438475,42.90902809045337,,,,,Close,
BANKNIFTY,7,decomposition+model/XGBoost,classical,22418.285659512283,,22451.018209808983,42.99358373254206,,,,,Close,
BANKNIFTY,7,decomposition+model/ExpSmoothing,classical,22587.71801180098,,22613.33560145909,43.323199167638286,,,,,Close,
BANKNIFTY,7,decomposition+model/ARIMA,classical,22595.91800490144,,22621.436908052867,43.33900756590553,,,,,Close,
BANKNIFTY,7,decomposition+model/LSTM,classical,27965.2514103767,,27990.626271797082,53.643599696281655,,,,,Close,
NIFTY50,7,original/LSTM,classical,37622.47845842397,,39714.68273892011,155.52798552012598,,,,,Close,
HDFCBANK,15,Hybrid_ARIMA_BiLSTM_XGB,dl_multivariate,6.348256728070237,,8.46776245326335,0.715394247148597,,,,,,Close
RELIANCE,15,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,7.090871595921681,,10.09605452046412,0.5829218344557021,,,,,,Close
HDFCBANK,15,Hybrid_ARIMA_BiLSTM_XGB,dl_univariate,10.635730534626452,,11.998384537566908,1.2057274393918422,,,,,,Close
RELIANCE,15,BiLSTM,dl_univariate,11.73732168156621,,15.376903551022865,0.9667986495626439,,,,,,Close
HDFCBANK,15,RecursiveTabular,autogluon_internal,13.986149088541575,288.8586408053804,16.99584186809763,1.5758510163677006,1.5632553721764166,1.5662064844916959,1.5598679191414124,0.4106591791677794,,
RELIANCE,15,XGBoostSeq,dl_multivariate,14.577267385620189,,17.116643662116363,1.196148883917435,,,,,,Close
HDFCBANK,15,Transformer,dl_univariate,15.55142576950575,,18.21453678879266,1.7461030083380662,,,,,,Close
RELIANCE,15,XGBoostSeq,dl_univariate,15.572372194651416,,18.291877566392337,1.274878650801214,,,,,,Close
RELIANCE,15,Transformer,dl_univariate,19.72473574636515,,22.251812122853263,1.6265257089560825,,,,,,Close
RELIANCE,15,Transformer,dl_multivariate,25.04236043307178,,27.450827893670965,2.064028566362438,,,,,,Close
HDFCBANK,15,XGBoostSeq,dl_multivariate,32.76034492873951,,33.98914934638148,3.692772283786387,,,,,,Close
RELIANCE,15,original/ARIMA,classical,30.426802571614818,,35.71064225643307,2.4304134976924234,,,,,Close,
HDFCBANK,15,WeightedEnsemble,autogluon_timeseries,31.428617764865212,1413.5021384434974,37.596570833568016,3.464170249650336,3.5514116646872895,3.5194609059523234,3.505217360691185,-1.8838829546374902,,
HDFCBANK,15,ETS,autogluon_internal,31.428617764865212,1413.5021384434974,37.596570833568016,3.464170249650336,3.5514116646872895,3.5194609059523234,3.505217360691185,-1.8838829546374902,,
RELIANCE,15,original/ExpSmoothing,classical,31.732231873102684,,37.87898484903497,2.5434273604346194,,,,,Close,
HDFCBANK,15,XGBoostSeq,dl_univariate,37.06562721548744,,38.076429998371445,4.176980939502669,,,,,,Close
HDFCBANK,15,arima,flaml,32.87061896190004,1555.2814658018003,39.43705701243185,3.6226181304193994,3.7186641063976142,3.680940067309973,3.6660430027159046,-2.1731467444601353,,
HDFCBANK,15,AutoARIMA,statsforecast,33.19047245689,1572.7520299908333,39.65793779296691,3.6586497323744034,3.7558110400865674,3.716758119496405,3.7017160963245557,-2.208790880328322,,
HDFCBANK,15,Theta,autogluon_internal,33.631058837744,1600.6875863762928,40.0085939065133,3.708204401939367,3.8072181740544915,3.766096164036313,3.750854465775216,-2.2657861070755936,,
HDFCBANK,15,Naive,autogluon_internal,33.591756184895985,1611.5942404071604,40.1446664004966,3.70276947724807,3.802449884065217,3.7616949475643167,3.7464710613851544,-2.288038293893212,,
RELIANCE,15,RecursiveTabular,autogluon_internal,37.414912923178996,1807.5807273878977,42.51565273388023,2.8925552359358333,2.9426570836208916,2.917298016037464,2.537857688135384,-1.2509767023228608,,
HDFCBANK,15,original/RandomForest,classical,38.60226520843431,,43.55731762720922,4.274445028576591,,,,,Close,
