stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column
RELIANCE,7,RecursiveTabular,autogluon_internal,0.00029081206706468366,1.7924060723393982e-07,0.00042336816984031735,1456.2930057309989,103.20977753165528,89.97353215792884,0.7076569106784265,-0.3924154390787946,
RELIANCE,7,SeasonalNaive,autogluon_internal,0.0002996256033798669,1.8732270438068864e-07,0.00043280793012685044,1270.1575364112823,112.97481014212995,92.70032751096635,0.7291036131619497,-0.4552005245621291,
RELIANCE,7,Theta,autogluon_internal,0.0002861045099115859,1.9092543043939606e-07,0.00043695014640047445,692.4450154859817,119.71839798050048,88.51707421526265,0.6962016248457987,-0.4831879960638761,
TCS,7,arima,flaml,0.0003421954338392704,3.2247924966679507e-07,0.0005678725646364641,237.05431176909593,109.12324292972227,91.93743499596792,0.9960627685071984,-0.025193555570121928,
TCS,7,Theta,autogluon_internal,0.0003291712840592492,3.3024701012439604e-07,0.0005746712191543927,240.6679376032286,100.23335456634814,88.43824475153916,0.9581520619212255,-0.049888037371891514,
TCS,7,ETS,autogluon_internal,0.00034415279487486923,3.3646209615828824e-07,0.0005800535287008331,272.6917631288472,105.2330750531515,92.46331797153834,1.0017602567238368,-0.06964641300642849,
TCS,7,AutoARIMA,statsforecast,0.0003385944834819981,3.4628247443279935e-07,0.0005884577082788527,225.1311877411616,104.726600291506,90.96996989662084,0.9855811190536107,-0.10086637066476545,
TCS,7,DirectTabular,autogluon_internal,0.00033965858015617755,3.859953080096861e-07,0.0006212852066560785,117.127727816527,95.59563654183547,91.25586009016958,0.9886784925847266,-0.22711741192872448,
TCS,7,RecursiveTabular,autogluon_internal,0.0004045025640780881,3.9573078221795787e-07,0.0006290713649642287,186.0303434148364,132.60209074136034,108.6774530372584,1.1774264177736755,-0.2580674511298575,
TCS,7,SeasonalNaive,autogluon_internal,0.0004103880238726364,4.026295273018297e-07,0.0006345309506256016,181.4631286972525,141.58589323181604,110.25869587037238,1.1945578192980135,-0.2799992467688459,
TCS,7,WeightedEnsemble,autogluon_timeseries,0.00033075485917903743,4.124977937051811e-07,0.0006422599113327728,73.22307678024622,94.19311925060244,88.86370289691331,0.9627615337667681,-0.311371445543863,
TCS,7,Naive,autogluon_internal,0.0003483679243978368,4.352730422540101e-07,0.0006597522582409325,67.87533645818237,115.15977073587824,93.59579420644754,1.014029659430816,-0.3837762221702441,
BANKNIFTY,15,decomposition+model/XGBoost,classical,6.900152896553686e-05,,9.748977800524768e-05,97758.71723484833,,,,,Volatility
BANKNIFTY,15,arima,flaml,7.78739521518494e-05,9.554396671127982e-09,9.774659416638506e-05,10815.529384105086,113.63668227957638,108.4664326447519,0.2627989195673345,0.2635925171165907,
BANKNIFTY,15,decomposition+model/LSTM,classical,7.060919490806305e-05,,9.998004808757735e-05,94576.07252605207,,,,,Volatility
BANKNIFTY,15,decomposition+model/RandomForest,classical,6.958816997585719e-05,,0.00010276793975772128,88274.17039121197,,,,,Volatility
BANKNIFTY,15,original/XGBoost,classical,8.684105183563832e-05,,0.00010531083352421069,162053.12041841316,,,,,Volatility
NIFTY50,15,original/XGBoost,classical,7.007730920323874e-05,,0.00011087029887071808,10483110.060881948,,,,,Volatility
NIFTY50,15,original/RandomForest,classical,7.567560954529293e-05,,0.0001116276736972499,13624465.592691546,,,,,Volatility
NIFTY50,15,original/ExpSmoothing,classical,7.405409971793445e-05,,0.00011247057869645408,13117948.198944831,,,,,Volatility
NIFTY50,15,original/ARIMA,classical,7.62215325656609e-05,,0.0001128355199918265,14105331.695993926,,,,,Volatility
NIFTY50,15,original/LSTM,classical,6.817983687475824e-05,,0.00011340449128211276,10450318.60858,,,,,Volatility
BANKNIFTY,15,original/ExpSmoothing,classical,0.0001006966680205526,,0.00011452714375827179,208960.63704760242,,,,,Volatility
NIFTY50,15,decomposition+model/XGBoost,classical,6.231262729170593e-05,,0.00011500607567677653,5538754.1365781035,,,,,Volatility
BANKNIFTY,15,ETS,autogluon_internal,9.566056373583662e-05,1.3357479069007204e-08,0.00011557456064812535,7223.733531551821,126.59090376604023,133.24044570101742,0.3228228708099923,-0.029530997870337305,
NIFTY50,15,decomposition+model/LSTM,classical,6.5068694423227e-05,,0.00011642478020752034,7563449.740621206,,,,,Volatility
NIFTY50,15,decomposition+model/RandomForest,classical,6.32531127144303e-05,,0.00011694647457147751,5557045.167294589,,,,,Volatility
BANKNIFTY,15,original/RandomForest,classical,0.00010178268450805033,,0.00011716318833037976,197976.87021673002,,,,,Volatility
BANKNIFTY,15,decomposition+model/ARIMA,classical,6.570473219628553e-05,,0.00011733880439111174,11074.124761062067,,,,,Volatility
BANKNIFTY,15,WeightedEnsemble,autogluon_timeseries,7.607987951484523e-05,1.3799264796528596e-08,0.00011747027196924588,4645.999964973186,116.08142119104956,105.96756552083923,0.2567445157827332,-0.06358174191793986,
BANKNIFTY,15,original/ARIMA,classical,0.00010675351167903699,,0.00011951128720694498,222806.32029835833,,,,,Volatility
BANKNIFTY,15,AutoARIMA,statsforecast,7.985609631001696e-05,1.487919137227178e-08,0.00012198029091731081,7485.327295803907,119.10102786174326,111.22725445850602,0.26948800274340606,-0.14681734943098323,
BANKNIFTY,15,Naive,autogluon_internal,6.628157444568179e-05,1.497507852727215e-08,0.00012237270335851925,2263.058915515661,116.30774820980783,92.32003425461073,0.22367846590836407,-0.15420787558194915,
BANKNIFTY,15,decomposition+model/ExpSmoothing,classical,7.322571452534019e-05,,0.0001228079312145414,10232.835466453298,,,,,Volatility
NIFTY50,15,decomposition+model/ARIMA,classical,6.428594100188394e-05,,0.00012299911839828357,3743281.106417472,,,,,Volatility
NIFTY50,15,decomposition+model/ExpSmoothing,classical,6.467287148387997e-05,,0.0001255736648575396,1086883.9579251509,,,,,Volatility
NIFTY50,15,arima,flaml,7.43638268727666e-05,1.662980116197603e-08,0.00012895658634585528,850.9119584379101,119.80980699235984,84.4052922561477,0.4912571077038595,0.1590099470121672,
BANKNIFTY,15,DirectTabular,autogluon_internal,0.00010277893919112942,1.7740925969600616e-08,0.0001331950673621235,8761.09151640942,119.3029502324628,143.15524738407592,0.3468450416005261,-0.36738625022485194,
HDFCBANK,15,decomposition+model/XGBoost,classical,0.00010284483656768875,,0.00014092416514523693,317043.6694745792,,,,,Volatility
HDFCBANK,15,decomposition+model/LSTM,classical,0.00010343188762825091,,0.0001413797146452902,355795.6681645352,,,,,Volatility
HDFCBANK,15,decomposition+model/RandomForest,classical,0.00010746788312340144,,0.00014348567078609632,340713.7999756456,,,,,Volatility
HDFCBANK,15,WeightedEnsemble,autogluon_timeseries,0.0001170663670529731,2.0720932838461598e-08,0.00014394767395988585,1228571.542719016,116.33742964009815,104.13668637274596,0.401920998180821,0.05098381235209404,
HDFCBANK,15,decomposition+model/ARIMA,classical,0.00010073791544879681,,0.00014408965678098476,300202.5909702928,,,,,Volatility
NIFTY50,15,DirectTabular,autogluon_internal,8.768221337235523e-05,2.1907481262004694e-08,0.00014801176055302058,9417.643781756055,107.79341746491247,99.52208158977722,0.5792401003255869,-0.10788900287573022,
HDFCBANK,15,DirectTabular,autogluon_internal,0.00013191673536267577,2.276838859819733e-08,0.00015089197658655455,1452598.9186792602,121.87074860487121,117.34686950320466,0.4529063922324505,-0.04278941082420418,
NIFTY50,15,ETS,autogluon_internal,8.273005881623799e-05,2.286042447479249e-08,0.00015119664174442662,2423.446501999741,120.3017852876388,93.90122975650822,0.5465255235421322,-0.1560805449880458,
NIFTY50,15,AutoARIMA,statsforecast,8.385789505683184e-05,2.3885824372520398e-08,0.00015455039428134888,2309.253315084428,131.11283563943098,95.18135951189686,0.5539761563674938,-0.20793631319143668,
HDFCBANK,15,Theta,autogluon_internal,0.00012260181162920838,2.391459442353383e-08,0.00015464344287273815,1110871.7066187058,120.26217978282614,109.06075526016848,0.4209257000901948,-0.09528549732285763,
BANKNIFTY,15,Theta,autogluon_internal,0.00011278844135563293,2.3977459230896603e-08,0.00015484656673913247,5756.55003984908,160.42907418409632,157.09694370657127,0.3806238120565205,-0.8480685914497987,
HDFCBANK,15,original/XGBoost,classical,0.000123422504145029,,0.0001569934633113883,714579.4074358408,,,,,Volatility
HDFCBANK,15,original/RandomForest,classical,0.0001393260695529519,,0.00015762967122961194,621183.637829489,,,,,Volatility
NIFTY50,15,WeightedEnsemble,autogluon_timeseries,8.370226477372242e-05,2.6035403347006658e-08,0.0001613548987387946,394.1228970955735,141.68092621304507,95.00471422503941,0.5529480424851585,-0.3166432374683308,
NIFTY50,15,Naive,autogluon_internal,8.439804218012086e-05,2.6256651457555233e-08,0.0001620390430037009,771.460349728961,144.97816635566087,95.79444355718857,0.5575444384836835,-0.32783203391883475,
HDFCBANK,15,ETS,autogluon_internal,0.00014160802977505627,2.6517767334239487e-08,0.0001628427687502257,1439481.2217105944,117.78752702663596,125.96778524676179,0.48617926831073194,-0.21451049799081034,
NIFTY50,15,Theta,autogluon_internal,0.00010374477229117556,2.7259634987547762e-08,0.0001651049211487888,2070.2642042907714,159.95003309925517,117.75359329296431,0.6853514526943053,-0.37855417808752123,
HDFCBANK,15,decomposition+model/ExpSmoothing,classical,0.0001000656548821942,,0.00016615043270389805,93485.6535568032,,,,,Volatility
