horizon,mae,mape,model_col,mse,r2,rmse,source,stock
15,8.684105183563832e-05,162053.12041841316,original/XGBoost,,,0.00010531083352421069,brain_automl,BANKNIFTY
15,7.007730920323874e-05,10483110.060881948,original/XGBoost,,,0.00011087029887071808,brain_automl,NIFTY50
15,7.567560954529293e-05,13624465.592691546,original/RandomForest,,,0.0001116276736972499,brain_automl,NIFTY50
15,7.405409971793445e-05,13117948.198944831,original/ExpSmoothing,,,0.00011247057869645408,brain_automl,NIFTY50
15,7.62215325656609e-05,14105331.695993926,original/ARIMA,,,0.0001128355199918265,brain_automl,NIFTY50
15,6.817983687475824e-05,10450318.60858,original/LSTM,,,0.00011340449128211276,brain_automl,NIFTY50
15,0.0001006966680205526,208960.63704760242,original/ExpSmoothing,,,0.00011452714375827179,brain_automl,BANKNIFTY
15,6.231262729170593e-05,5538754.1365781035,decomposition+model/XGBoost,,,0.00011500607567677653,brain_automl,NIFTY50
15,9.566056373583662e-05,7223.733531551821,ETS,1.3357479069007204e-08,-0.029530997870337305,0.00011557456064812535,brain_automl,BANKNIFTY
15,6.5068694423227e-05,7563449.740621206,decomposition+model/LSTM,,,0.00011642478020752034,brain_automl,NIFTY50
15,6.32531127144303e-05,5557045.167294589,decomposition+model/RandomForest,,,0.00011694647457147751,brain_automl,NIFTY50
15,0.00010178268450805033,197976.87021673002,original/RandomForest,,,0.00011716318833037976,brain_automl,BANKNIFTY
15,6.570473219628553e-05,11074.124761062067,decomposition+model/ARIMA,,,0.00011733880439111174,brain_automl,BANKNIFTY
15,7.607987951484523e-05,4645.999964973186,WeightedEnsemble,1.3799264796528596e-08,-0.06358174191793986,0.00011747027196924588,brain_automl,BANKNIFTY
15,0.00010675351167903699,222806.32029835833,original/ARIMA,,,0.00011951128720694498,brain_automl,BANKNIFTY
15,7.985609631001696e-05,7485.327295803907,AutoARIMA,1.487919137227178e-08,-0.14681734943098323,0.00012198029091731081,brain_automl,BANKNIFTY
15,6.628157444568179e-05,2263.058915515661,Naive,1.497507852727215e-08,-0.15420787558194915,0.00012237270335851925,brain_automl,BANKNIFTY
15,7.322571452534019e-05,10232.835466453298,decomposition+model/ExpSmoothing,,,0.0001228079312145414,brain_automl,BANKNIFTY
15,6.428594100188394e-05,3743281.106417472,decomposition+model/ARIMA,,,0.00012299911839828357,brain_automl,NIFTY50
15,6.467287148387997e-05,1086883.9579251509,decomposition+model/ExpSmoothing,,,0.0001255736648575396,brain_automl,NIFTY50
15,7.43638268727666e-05,850.9119584379101,arima,1.662980116197603e-08,0.1590099470121672,0.00012895658634585528,brain_automl,NIFTY50
15,0.00010277893919112942,8761.09151640942,DirectTabular,1.7740925969600616e-08,-0.36738625022485194,0.0001331950673621235,brain_automl,BANKNIFTY
15,0.00010284483656768875,317043.6694745792,decomposition+model/XGBoost,,,0.00014092416514523693,brain_automl,HDFCBANK
15,0.00010343188762825091,355795.6681645352,decomposition+model/LSTM,,,0.0001413797146452902,brain_automl,HDFCBANK
15,0.00010746788312340144,340713.7999756456,decomposition+model/RandomForest,,,0.00014348567078609632,brain_automl,HDFCBANK
15,0.0001170663670529731,1228571.542719016,WeightedEnsemble,2.0720932838461598e-08,0.05098381235209404,0.00014394767395988585,brain_automl,HDFCBANK
15,0.00010073791544879681,300202.5909702928,decomposition+model/ARIMA,,,0.00014408965678098476,brain_automl,HDFCBANK
15,8.768221337235523e-05,9417.643781756055,DirectTabular,2.1907481262004694e-08,-0.10788900287573022,0.00014801176055302058,brain_automl,NIFTY50
15,0.00013191673536267577,1452598.9186792602,DirectTabular,2.276838859819733e-08,-0.04278941082420418,0.00015089197658655455,brain_automl,HDFCBANK
15,8.273005881623799e-05,2423.446501999741,ETS,2.286042447479249e-08,-0.1560805449880458,0.00015119664174442662,brain_automl,NIFTY50
15,8.385789505683184e-05,2309.253315084428,AutoARIMA,2.3885824372520398e-08,-0.20793631319143668,0.00015455039428134888,brain_automl,NIFTY50
15,0.00012260181162920838,1110871.7066187058,Theta,2.391459442353383e-08,-0.09528549732285763,0.00015464344287273815,brain_automl,HDFCBANK
15,0.00011278844135563293,5756.55003984908,Theta,2.3977459230896603e-08,-0.8480685914497987,0.00015484656673913247,brain_automl,BANKNIFTY
15,0.000123422504145029,714579.4074358408,original/XGBoost,,,0.0001569934633113883,brain_automl,HDFCBANK
15,0.0001393260695529519,621183.637829489,original/RandomForest,,,0.00015762967122961194,brain_automl,HDFCBANK
15,8.370226477372242e-05,394.1228970955735,WeightedEnsemble,2.6035403347006658e-08,-0.3166432374683308,0.0001613548987387946,brain_automl,NIFTY50
15,8.439804218012086e-05,771.460349728961,Naive,2.6256651457555233e-08,-0.32783203391883475,0.0001620390430037009,brain_automl,NIFTY50
15,0.00014160802977505627,1439481.2217105944,ETS,2.6517767334239487e-08,-0.21451049799081034,0.0001628427687502257,brain_automl,HDFCBANK
15,0.00010374477229117556,2070.2642042907714,Theta,2.7259634987547762e-08,-0.37855417808752123,0.0001651049211487888,brain_automl,NIFTY50
15,0.0001000656548821942,93485.6535568032,decomposition+model/ExpSmoothing,,,0.00016615043270389805,brain_automl,HDFCBANK
15,0.00013673974559313365,1862228.9234229343,AutoARIMA,2.7735380556290488e-08,-0.2702770345183383,0.00016653942643197282,brain_automl,HDFCBANK
15,0.0001533799709413473,853530.5959582464,original/LSTM,,,0.00016709638760970409,brain_automl,HDFCBANK
15,0.00011401172331348771,13272.745782285096,RecursiveTabular,2.851191814644396e-08,-0.44188371942707305,0.00016885472497518085,brain_automl,NIFTY50
15,0.0001574418915371104,881313.8054714726,original/ExpSmoothing,,,0.00017093921595386893,brain_automl,HDFCBANK
